Monomer A1 type,Monomer A2 type,A1/A2 ratio,"Monomer A concentration, wt%",Monomer B type,"Monomer B concentration, wt%",Organic solvent type, Additive X1 type in aqueous phase,"Additive X1 concentration, wt%", Additive X2 type in aqueous phase,"Additive X2 concentration, wt%",Aqueous phase pH, Additive Y type in organic  phase,"Additive Y concentration, wt%",Nanomaterials type in aqueous phase,"Nanomaterials loading in aqueous phase, wt%",Nanomaterials type in organic phase,"Nanomaterials loading in organnic phase, wt%",Nanomateials morphology,"Polymerization time, s","Heat curing time, min","Heat curing termperature, degree",Substrate membrane type,substrate membrane pore size,"Transmembrane presurre, bar","NaCl concentration, ppm","MgSO4 concentratin, ppm","Na2SO4 concentration, ppm","MgCl2 concentration, ppm","CaCl2 Concentration, ppm","Permeability, LMH/bar","NaCl rejection, %","Mg2SO4 rejection, %","Na2SO4 rejection, %","MgCl2 rejection, %","CaCl2 rejection, %",Literature DOI
Piperazine,,,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,3.5,584,1200,1420,952,,,31,94,86,97,,doi.org/10.1021/ie0497994
Piperazine,,,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4,584,1200,1420,952,,,29,97,93,96,,doi.org/10.1021/ie0497994
Piperazine,,,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4.5,584,1200,1420,952,,9.6,25,99,98,96,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,1.5,584,1200,1420,952,,12,51,97,95,97,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,2.5,584,1200,1420,952,,11.52,47,97,95,97,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,3.5,584,1200,1420,952,,11.82857143,42,95,90,97,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4,584,1200,1420,952,,11.7,37,97,95,98,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4.5,584,1200,1420,952,,12,34,99,98,98,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",19,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,1.5,584,1200,1420,952,,,58,97,96,94,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",19,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,2.5,584,1200,1420,952,,,53,97,96,95,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",19,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,3.5,584,1200,1420,952,,,50,95,91,95,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",19,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4,584,1200,1420,952,,,44,97,96,95,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",19,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4.5,584,1200,1420,952,,11.6,37,99,99,95,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",12.3,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,1.5,584,1200,1420,952,,,62,96,95,97,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",12.3,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,2.5,584,1200,1420,952,,,60,97,96,97,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",12.3,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,3.5,584,1200,1420,952,,,52,95,91,97,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",12.3,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4,584,1200,1420,952,,,50,97,96,97,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",12.3,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4.5,584,1200,1420,952,,10.4,45,99,98,97,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",9,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,1.5,584,1200,1420,952,,,65,96,95,98,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",9,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,2.5,584,1200,1420,952,,,61,98,96,98,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",9,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,3.5,584,1200,1420,952,,,53,95,92,98,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",9,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4,584,1200,1420,952,,,50,97,96,98,,doi.org/10.1021/ie0497994
Piperazine,"3,5-diaminobenzoic acid",9,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,42,,4.5,584,1200,1420,952,,8.8,45,99,98,98,,doi.org/10.1021/ie0497994
Piperazine,,,1,trimesoyl chloride (265.5),0.075,hexane,4-dimethylaminopyridine,0.1,triethylamine,,11.5,,,,,,,,15,70,40,15,50,5,1000,1000,1000,1000,,10.3,31,97,98,91,,doi.org/10.1016/j.memsci.2017.07.054
Piperazine,,,2,trimesoyl chloride (265.5),0.15,hexane,sodium hydroxide,,,,10,,,,,,,,60,,,44,,3,1000,,1000,,1000,15.33333333,35,,97,,81,doi.org/10.1016/j.desal.2015.08.025
Piperazine,,,2,trimesoyl chloride (265.5),0.3,hexane,sodium hydroxide,,,,10,,,,,,,,60,,,44,,3,1000,,1000,,1000,13,37,,98,,80,doi.org/10.1016/j.desal.2015.08.025
Piperazine,,,2,trimesoyl chloride (265.5),0.45,hexane,sodium hydroxide,,,,10,,,,,,,,60,,,44,,3,1000,,1000,,1000,11.66666667,40,,99,,78,doi.org/10.1016/j.desal.2015.08.025
Piperazine,"2,5-diaminobanzenesolfonic acid",3,2,trimesoyl chloride (265.5),0.15,hexane,sodium hydroxide,,,,10,,,,,,,,60,,,44,,3,1000,,1000,,,18.33333333,,,95,,,doi.org/10.1016/j.desal.2015.08.025
Piperazine,"2,5-diaminobanzenesolfonic acid",1,2,trimesoyl chloride (265.5),0.15,hexane,sodium hydroxide,,,,10,,,,,,,,60,,,44,,3,1000,,1000,,,20,,,96,,,doi.org/10.1016/j.desal.2015.08.025
Piperazine,"2,5-diaminobanzenesolfonic acid",0.33,2,trimesoyl chloride (265.5),0.15,hexane,sodium hydroxide,,,,10,,,,,,,,60,,,44,,3,1000,,1000,,,43.33333333,,,60,,,doi.org/10.1016/j.desal.2015.08.025
Piperazine,"2,5-diaminobanzenesolfonic acid",,2,trimesoyl chloride (265.5),0.15,hexane,sodium hydroxide,,,,10,,,,,,,,60,,,44,,3,1000,,1000,,,58.33333333,,,48,,,doi.org/10.1016/j.desal.2015.08.025
Piperazine,,,0.35,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,60,10,50,16,,6,1000,1000,1000,1000,,6.1,30,93,95,62,,doi.org/10.1016/j.memsci.2017.05.062
Piperazine,4-aminobenzoic acid,1.5,0.35,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,60,10,50,16,,6,,,1000,,,8.3,,,95,,,doi.org/10.1016/j.memsci.2017.05.062
Piperazine,4-aminobenzoic acid,4,0.35,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,60,10,50,16,,6,,,1000,,,8,,,94,,,doi.org/10.1016/j.memsci.2017.05.062
Piperazine,4-aminobenzoic acid,2.33,0.35,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,60,10,50,16,,6,,,1000,,,8,,,93,,,doi.org/10.1016/j.memsci.2017.05.062
Piperazine,4-aminobenzoic acid,1,0.35,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,60,10,50,16,,6,1000,1000,1000,1000,,11.9,15,62,93,21,,doi.org/10.1016/j.memsci.2017.05.062
Piperazine,4-aminobenzoic acid,0.67,0.35,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,60,10,50,16,,6,,,1000,,,15.5,,,50,,,doi.org/10.1016/j.memsci.2017.05.062
Piperazine,6-aminocaproic acid,1.5,0.35,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,60,10,50,16,,6,,,1000,,,7.8,,,93,,,doi.org/10.1016/j.memsci.2017.05.062
Piperazine,3-aminopropanoic acid,1.5,0.35,trimesoyl chloride (265.5),0.2,hexane,,,,,,,,,,,,,60,10,50,16,,6,,,1000,,,7,,,94,,,doi.org/10.1016/j.memsci.2017.05.062
Piperazine,Triethylamine,1,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,60,10,,48,79,4.8,2000,2000,,,,6.8,37,98,,,,doi.org/10.1016/j.memsci.2010.08.033
Piperazine,Triethylamine,1,2,trimesoyl chloride (265.5),0.15,hexane,1-Butyl-3-methyl-imidazolium chloride ,1,,,,,,,,,,,60,10,,48,79,4.8,2000,2000,,,,,58,99,,,,doi.org/10.1016/j.memsci.2010.08.033
Piperazine,Triethylamine,1,2,trimesoyl chloride (265.5),0.15,hexane,1-Octyl-3-methyl-imidazolium chloride,1,,,,,,,,,,,60,10,,48,79,4.8,2000,2000,,,,,24,97,,,,doi.org/10.1016/j.memsci.2010.08.033
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.075,hexane,,,,,,,,,,,,,5,,,60,,4.5,585,,,,,,19,,,,,10.1016/j.memsci.2005.01.021
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,5,,,60,,4.5,585,,,,,,52,,,,,10.1016/j.memsci.2005.01.021
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.225,hexane,,,,,,,,,,,,,5,,,60,,4.5,585,,,,,,65,,,,,10.1016/j.memsci.2005.01.021
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.3,hexane,,,,,,,,,,,,,5,,,60,,4.5,585,,,,,,42,,,,,10.1016/j.memsci.2005.01.021
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.075,hexane,,,,,,,,,,,,,10,,,60,,4.5,585,,,,,,19,,,,,10.1016/j.memsci.2005.01.021
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.15,hexane,,,,,,,,,,,,,10,,,60,,4.5,585,,,,,,55,,,,,10.1016/j.memsci.2005.01.021
Piperazine,"3,5-diaminobenzoic acid",39,2,trimesoyl chloride (265.5),0.225,hexane,,,,,,,,,,,,,10,,,60,,4.5,585,,,,,,45,,,,,10.1016/j.memsci.2005.01.021
